observed_at,available_count,preparing_count,total_rooms,available_rooms
2026-09-07T10:17:05+09:00,5,4,50,202|211|301|403|515
2026-09-07T10:44:41+09:00,6,1,50,202|211|301|417|502|516
2026-09-07T11:18:22+09:00,5,2,50,202|213|301|502|516
2026-09-07T11:44:46+09:00,5,2,50,215|302|316|413|502
2026-09-07T12:19:21+09:00,6,4,50,205|215|302|315|401|611
2026-09-07T12:46:05+09:00,8,3,50,205|215|302|315|401|412|513|611
2026-09-07T13:19:07+09:00,3,3,50,302|313|501
2026-09-07T13:45:55+09:00,6,2,50,302|501|513|517|518|611
2026-09-07T14:17:35+09:00,3,1,50,302|501|615
2026-09-07T14:45:06+09:00,3,0,50,301|502|615
2026-09-07T15:26:29+09:00,4,2,50,305|502|613|615
2026-09-07T15:50:41+09:00,3,2,50,201|302|615
2026-09-07T16:20:38+09:00,6,3,50,201|211|302|312|415|615
2026-09-07T16:46:39+09:00,8,2,50,201|302|405|412|417|505|517|615
2026-09-07T17:20:49+09:00,4,3,50,201|405|516|615
2026-09-07T17:46:45+09:00,5,3,50,202|405|412|516|612
2026-09-07T18:20:37+09:00,4,1,50,202|405|517|612
2026-09-07T18:35:45+09:00,3,2,50,411|505|612
2026-09-07T18:49:09+09:00,4,2,50,212|313|505|613
2026-09-07T18:58:33+09:00,5,2,50,213|401|502|511|613
2026-09-07T19:19:18+09:00,6,2,50,205|302|401|413|502|515
2026-09-07T19:33:13+09:00,3,2,50,205|402|502
2026-09-07T19:45:48+09:00,4,0,50,205|402|502|611
2026-09-07T19:56:32+09:00,4,3,50,205|213|312|503
2026-09-07T20:19:02+09:00,4,4,50,205|303|503|517
2026-09-07T20:33:18+09:00,5,3,50,202|303|316|501|517
2026-09-07T20:45:52+09:00,5,2,50,202|303|316|501|517
2026-09-07T20:56:52+09:00,6,3,50,202|303|316|416|501|517
2026-09-07T21:25:05+09:00,5,0,50,205|211|316|405|501
2026-09-07T21:50:05+09:00,5,1,50,205|211|318|501|516
2026-09-07T22:00:28+09:00,5,1,50,211|305|412|505|516
2026-09-07T22:20:50+09:00,5,1,50,205|315|415|505|516
2026-09-07T22:35:06+09:00,5,3,50,205|315|415|505|516
2026-09-07T22:48:19+09:00,5,1,50,205|313|402|505|516
2026-09-07T22:58:04+09:00,5,2,50,205|213|402|505|516
2026-09-07T23:19:14+09:00,5,2,50,215|301|317|501|516
2026-09-07T23:33:13+09:00,4,0,50,215|301|501|516
2026-09-07T23:46:48+09:00,4,0,50,215|401|501|516
2026-09-07T23:57:40+09:00,4,0,50,203|305|501|516
2026-09-08T00:17:54+09:00,4,0,50,203|411|501|518
2026-09-08T00:31:28+09:00,3,0,50,203|411|501
2026-09-08T00:44:25+09:00,4,0,50,203|311|501|615
2026-09-08T00:56:30+09:00,4,0,50,203|311|501|615
2026-09-08T01:18:33+09:00,5,0,50,203|218|301|315|615
2026-09-08T01:32:12+09:00,5,0,50,203|218|301|315|615
2026-09-08T01:44:36+09:00,4,0,50,203|218|301|311
2026-09-08T01:56:13+09:00,4,0,50,203|213|301|311
2026-09-08T02:15:48+09:00,4,0,50,203|213|301|311
2026-09-08T03:20:22+09:00,2,0,50,301|311
2026-09-08T04:15:45+09:00,4,0,50,211|302|316|501
2026-09-08T05:17:31+09:00,3,0,50,302|316|501
2026-09-08T06:16:41+09:00,1,0,50,301
2026-09-08T07:16:51+09:00,3,0,50,303|415|615
2026-09-08T08:16:22+09:00,3,0,50,303|415|615
2026-09-08T09:28:46+09:00,6,2,50,202|213|303|415|516|615
2026-09-08T10:18:56+09:00,4,5,50,302|405|417|516
2026-09-08T10:45:32+09:00,8,4,50,202|317|401|405|411|413|516|613
2026-09-08T11:18:46+09:00,5,0,50,401|503|516|612|613
2026-09-08T11:45:20+09:00,4,2,50,212|403|503|516
2026-09-08T12:19:05+09:00,3,4,50,202|503|518
2026-09-08T12:45:36+09:00,7,2,50,201|215|305|313|505|511|515
